"Package","Version"
"base64enc","0.1-3"
"BH","1.69.0-1"
"brew","1.0-6"
"clisymbols","1.2.0"
"codetools","0.2-15"
"commonmark","1.7"
"curl","3.3"
"digest","0.6.18"
"fansi","0.4.0"
"highr","0.7"
"ini","0.3.1"
"jsonlite","1.6"
"lazyeval","0.2.1"
"magrittr","1.5"
"openssl","1.1"
"plogr","0.2.0"
"praise","1.0.0"
"R6","2.3.0"
"rematch","1.0.1"
"rlang","0.3.1"
"rstudioapi","0.9.0"
"sourcetools","0.1.7"
"utf8","1.1.4"
"whisker","0.3-2"
"yaml","2.2.0"
"assertthat","0.2.0"
"backports","1.1.3"
"callr","3.1.1"
"cellranger","1.1.0"
"cli","1.0.1"
"clipr","0.5.0"
"crayon","1.3.4"
"crosstalk","1.0.0"
"desc","1.2.0"
"devtools","2.0.1"
"diffdf","1.0.2"
"DT","0.5"
"evaluate","0.12"
"gh","1.0.1"
"git2r","0.24.0"
"glue","1.3.0"
"hms","0.4.2"
"htmlwidgets","1.3"
"httr","1.4.0"
"knitr","1.21"
"markdown","0.9"
"MASS","7.3-51.1"
"memoise","1.1.0"
"mime","0.6"
"miniUI","0.1.1.1"
"pillar","1.3.1"
"pkgbuild","1.0.2"
"pkgconfig","2.0.2"
"pkgload","1.0.2"
"prettyunits","1.0.2"
"processx","3.2.1"
"progress","1.2.0"
"ps","1.3.0"
"purrr","0.2.5"
"R.methodsS3","1.7.1"
"R.oo","1.22.0"
"R.utils","2.7.0"
"rcmdcheck","1.3.2"
"Rcpp","1.0.0"
"remotes","2.0.2"
"rmarkdown","1.11"
"rprojroot","1.3-2"
"sessioninfo","1.1.1"
"shiny","1.2.0"
"stringi","1.2.4"
"stringr","1.3.1"
"testthat","2.0.1"
"tibble","2.0.0"
"tinytex","0.9"
"usethis","1.4.0"
"withr","2.1.2"
"xfun","0.4"
"xopen","1.0.0"
"xtable","1.8-3"
"dplyr","0.7.8"
"fs","1.2.6"
"htmltools","0.3.6"
"httpuv","1.4.5.1"
"later","0.7.5"
"lubridate","1.7.4"
"promises","1.0.1"
"readxl","1.2.0"
"roxygen2","6.1.1"
"tidyr","0.8.2"
"tidyselect","0.2.5"
"xml2","1.2.0"
